"cTribMun";"xTribMun";"Alíquota";"cTribNac";"xTribNac";
"1104";"11.04 - Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.";"5%";"110401";"Armazenamento, depósito, guarda de bens de qualquer espécie.";
"1104";"11.04 - Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.";"5%";"110402";"Carga, descarga, arrumação de bens de qualquer espécie.";
"1105";"11.05 - Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza.";"5%";"110501";"Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza.";
"1201";"12.01 - Espetáculos teatrais.";"5%";"120101";"Espetáculos teatrais.";
"1202";"12.02 - Exibições cinematográficas.";"5%";"120201";"Exibições cinematográficas.";
"1203";"12.03 - Espetáculos circenses.";"5%";"120301";"Espetáculos circenses.";
"1204";"12.04 - Programas de auditório.";"5%";"120401";"Programas de auditório.";
"1205";"12.05 - Parques de diversões, centros de lazer e congêneres.";"5%";"120501";"Parques de diversões, centros de lazer e congêneres.";
"1206";"12.06 - Boates, taxi-dancing e congêneres.";"5%";"120601";"Boates, taxi-dancing e congêneres.";
"1207";"12.07 - Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.";"5%";"120701";"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.";
"1208";"12.08 - Feiras, exposições, congressos e congêneres.";"5%";"120801";"Feiras, exposições, congressos e congêneres.";
"1209";"12.09 - Bilhares, boliches e diversões eletrônicas ou não.";"5%";"120901";"Bilhares.";
"1209";"12.09 - Bilhares, boliches e diversões eletrônicas ou não.";"5%";"120902";"Boliches.";
"1209";"12.09 - Bilhares, boliches e diversões eletrônicas ou não.";"5%";"120903";"Diversões eletrônicas ou não.";
"1210";"12.10 - Corridas e competições de animais.";"5%";"121001";"Corridas e competições de animais.";
"1211";"12.11 - Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.";"5%";"121101";"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.";
"1212";"12.12 - Execução de música.";"5%";"121201";"Execução de música.";
"1213";"12.13 - Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.";"5%";"121301";"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.";
"1214";"12.14 - Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.";"5%";"121401";"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.";
"1215";"12.15 - Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.";"5%";"121501";"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.";
"1216";"12.16 - Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.";"5%";"121601";"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.";
"1217";"12.17 - Recreação e animação, inclusive em festas e eventos de qualquer natureza.";"5%";"121701";"Recreação e animação, inclusive em festas e eventos de qualquer natureza.";
"1302";"13.02 - Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.";"5%";"130201";"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.";
"1303";"13.03 - Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.";"5%";"130301";"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.";
"1304";"13.04 - Reprografia, microfilmagem e digitalização.";"5%";"130401";"Reprografia, microfilmagem e digitalização.";
"1305";"13.05 - Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";"5%";"130501";"Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.";
"1401";"14.01 - Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";"5%";"140101";"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";
"1402";"14.02 - Assistência técnica.";"5%";"140201";"Assistência técnica.";
"1403";"14.03 - Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";"5%";"140301";"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).";
"1404";"14.04 - Recauchutagem ou regeneração de pneus.";"5%";"140401";"Recauchutagem ou regeneração de pneus.";
"1405";"14.05 - Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. ";"5%";"140501";"Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer.";
"1406";"14.06 - Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.";"5%";"140601";"Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.";
"1407";"14.07 - Colocação de molduras e congêneres.";"5%";"140701";"Colocação de molduras e congêneres.";
"1408";"14.08 - Encadernação, gravação e douração de livros, revistas e congêneres.";"5%";"140801";"Encadernação, gravação e douração de livros, revistas e congêneres.";
"1409";"14.09 - Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";"5%";"140901";"Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.";
"1410";"14.10 - Tinturaria e lavanderia.";"5%";"141001";"Tinturaria e lavanderia.";
"1411";"14.11 - Tapeçaria e reforma de estofamentos em geral.";"5%";"141101";"Tapeçaria e reforma de estofamentos em geral.";
"1412";"14.12 - Funilaria e lanternagem.";"5%";"141201";"Funilaria e lanternagem.";
"1413";"14.13 - Carpintaria e serralheria.";"5%";"141301";"Carpintaria.";
"1413";"14.13 - Carpintaria e serralheria.";"5%";"141302";"Serralheria.";
"1414";"14.14 - Guincho intramunicipal, guindaste e içamento.";"5%";"141401";"Guincho intramunicipal.";
"1414";"14.14 - Guincho intramunicipal, guindaste e içamento.";"5%";"141402";"Guindaste e içamento.";
"1501";"15.01 - Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.";"5%";"150101";"Administração de fundos quaisquer e congêneres.";
"1501";"15.01 - Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.";"5%";"150102";"Administração de consórcio e congêneres.";
"1501";"15.01 - Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.";"5%";"150103";"Administração de cartão de crédito ou débito e congêneres.";
"1501";"15.01 - Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.";"5%";"150104";"Administração de carteira de clientes e congêneres.";
"1501";"15.01 - Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.";"5%";"150105";"Administração de cheques pré-datados e congêneres.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150201";"Abertura de conta-corrente no País, bem como a manutenção da referida conta ativa e inativa.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150202";"Abertura de conta-corrente no exterior, bem como a manutenção da referida conta ativa e inativa.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150203";"Abertura de conta de investimentos e aplicação no País, bem como a manutenção da referida conta ativa e inativa.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150204";"Abertura de conta de investimentos e aplicação no exterior, bem como a manutenção da referida conta ativa e inativa.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150205";"Abertura de caderneta de poupança no País, bem como a manutenção da referida conta ativa e inativa.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150206";"Abertura de caderneta de poupança no exterior, bem como a manutenção da referida conta ativa e inativa.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150207";"Abertura de contas em geral no País, não abrangida em outro subitem, bem como a manutenção das referidas contas ativas e inativas.";
"1502";"15.02 - Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.";"5%";"150208";"Abertura de contas em geral no exterior, não abrangida em outro subitem, bem como a manutenção das referidas contas ativas e inativas.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150301";"Locação de cofres particulares.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150302";"Manutenção de cofres particulares.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150303";"Locação de terminais eletrônicos.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150304";"Manutenção de terminais eletrônicos.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150305";"Locação de terminais de atendimento.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150306";"Manutenção de terminais de atendimento.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150307";"Locação de bens e equipamentos em geral.";
"1503";"15.03 - Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.";"5%";"150308";"Manutenção de bens e equipamentos em geral.";
"1504";"15.04 - Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.";"5%";"150401";"Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.";
"1505";"15.05 - Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos, CCF ou em quaisquer outros bancos cadastrais.";"5%";"150501";"Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres.";
"1505";"15.05 - Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos, CCF ou em quaisquer outros bancos cadastrais.";"5%";"150502";"Inclusão no Cadastro de Emitentes de Cheques sem Fundos - CCF.";
"1505";"15.05 - Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos, CCF ou em quaisquer outros bancos cadastrais.";"5%";"150503";"Exclusão no Cadastro de Emitentes de Cheques sem Fundos - CCF.";
"1505";"15.05 - Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos, CCF ou em quaisquer outros bancos cadastrais.";"5%";"150504";"Inclusão em quaisquer outros bancos cadastrais.";
"1505";"15.05 - Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos, CCF ou em quaisquer outros bancos cadastrais.";"5%";"150505";"Exclusão em quaisquer outros bancos cadastrais.";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150601";"Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150602";"Abono de firmas.";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150603";"Coleta e entrega de documentos, bens e valores.";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150604";"Comunicação com outra agência ou com a administração central.";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150605";"Licenciamento eletrônico de veículos.";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150606";"Transferência de veículos.";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150607";"Agenciamento fiduciário ou depositário.";
"1506";"15.06 - Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.";"5%";"150608";"Devolução de bens em custódia.";
"1507";"15.07 - Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.";"5%";"150701";"Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex.";
"1507";"15.07 - Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.";"5%";"150702";"Acesso a terminais de atendimento, inclusive vinte e quatro horas.";
"1507";"15.07 - Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.";"5%";"150703";"Acesso a outro banco e à rede compartilhada.";
"1507";"15.07 - Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.";"5%";"150704";"Fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.";
"1508";"15.08 - Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.";"5%";"150801";"Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito.";
"1508";"15.08 - Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.";"5%";"150802";"Estudo, análise e avaliação de operações de crédito.";
"1508";"15.08 - Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.";"5%";"150803";"Emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres.";
"1508";"15.08 - Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.";"5%";"150804";"Serviços relativos à abertura de crédito, para quaisquer fins.";
"1509";"15.09 - Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).";"5%";"150901";"Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).";
